,Market_Balanced_Benchmark,Market_Balanced_MeanVariance,Market_Balanced_MaxSharpe
2021-11-17,,,
2021-11-18,,,
2021-11-19,,,
2021-11-22,,,
2021-11-23,,,
2021-11-24,,,
2021-11-25,,,
2021-11-26,,,
2021-11-29,,,
2021-11-30,,,
2021-12-01,,,
2021-12-02,,,
2021-12-03,,,
2021-12-06,,,
2021-12-07,,,
2021-12-08,,,
2021-12-09,,,
2021-12-10,,,
2021-12-13,,,
2021-12-14,,,
2021-12-15,,,
2021-12-16,,,
2021-12-17,,,
2021-12-20,,,
2021-12-21,,,
2021-12-22,,,
2021-12-23,,,
2021-12-24,,,
2021-12-29,,,
2021-12-30,0.5882838071927008,0.5745555037657054,0.41380643588591937
2021-12-31,0.6023117013645438,0.5895494101564307,0.42507569215370467
2022-01-04,0.6035636471131279,0.5898615205991596,0.4235815137150833
2022-01-05,0.5962358759488123,0.582725319366515,0.41714756328870256
2022-01-06,0.6116264510695125,0.5947724623942484,0.42660782729144375
2022-01-07,0.60477532104543,0.587027507540464,0.41800539481998134
2022-01-10,0.609210727143124,0.5909426274990454,0.42062771833708773
2022-01-11,0.6091587394586079,0.5909090763856344,0.42061794676435404
2022-01-12,0.6117750229253609,0.5953164766552236,0.4255421009266842
2022-01-13,0.6131996548798317,0.5964165037511321,0.4267788015517813
2022-01-14,0.611554612396054,0.5948531184681339,0.4242593827553371
2022-01-17,0.6119402843100747,0.5955626770779751,0.42498970577072814
2022-01-18,0.612102543888934,0.5959657758776956,0.42492042219725645
2022-01-19,0.6100046770625613,0.5933265124254326,0.422457112304009
2022-01-20,0.6128835582288555,0.5966047988546989,0.4253297701484291
2022-01-21,0.6190887780714789,0.6022515993449628,0.4271660351957925
2022-01-24,0.6248934040704427,0.6090368119180014,0.43352105024058385
2022-01-25,0.6185964314538467,0.5988956542121712,0.4252211073664323
2022-01-27,0.628654120506972,0.6085865785734123,0.4338353925895447
2022-01-28,0.6328694181934814,0.613297223466042,0.4374862039716972
2022-01-31,0.6256765996401544,0.6074235862558915,0.431958953225636
2022-02-01,0.6318904565337032,0.6147320558913485,0.4395890264224561
2022-02-02,0.6373520685240793,0.620598550735851,0.4447328337158554
2022-02-03,0.6411171041570806,0.6246680604473555,0.448515990684728
2022-02-04,0.6352415924414171,0.6169496742347637,0.441612428731167
2022-02-07,0.6308280629988107,0.6120416481842743,0.43690624340450984
2022-02-08,0.6312188829512978,0.6116356923152599,0.43631690729273087
2022-02-09,0.6327677003364267,0.6132568929095116,0.43740018708741646
2022-02-10,0.6332173943236388,0.6138668837889152,0.43797917250983104
2022-02-11,0.6365362766047105,0.6175836011898691,0.4419298415990562
2022-02-14,0.6357525750514851,0.6177778314984071,0.44126546886372137
2022-02-15,0.6345533409066613,0.6165123522204417,0.44008837041865245
2022-02-16,0.6381515873031035,0.6192791682971365,0.4415269123576883
2022-02-17,0.6388786111110786,0.6199706504582312,0.4420370957627614
2022-02-18,0.6392762893830433,0.6198879443982919,0.4419810654495224
2022-02-21,0.6408556163052864,0.623257905321813,0.44324656975984655
2022-02-22,0.6422472026073166,0.6267533328452299,0.44362363430085183
2022-02-23,0.6432150273061229,0.627975089736625,0.44454906156868895
2022-02-24,0.624138894047245,0.6124314892129759,0.41879106099833335
2022-02-25,0.6333266139776937,0.6280261398512653,0.4287748332254703
2022-02-28,0.6345558412650822,0.6295026505178595,0.4298195200792543
2022-03-01,0.635177543116659,0.6306739667023126,0.42989760291793605
2022-03-02,0.6264994951810157,0.6196045419523583,0.41814918403441687
2022-03-03,0.625714024409158,0.6188749965292942,0.4166063215098936
2022-03-04,0.6311197390073247,0.6260087371576525,0.4208291238638425
2022-03-07,0.639790801653666,0.6352505098276485,0.42625878038256054
2022-03-08,0.6474814604512539,0.6441804501652186,0.43538218213250923
2022-03-09,0.6454385170578177,0.6410693091279814,0.4304197882629606
2022-03-10,0.6551162278234297,0.6498826399100317,0.4360083174931474
2022-03-11,0.6535249005971997,0.6480617883300845,0.43423228274018677
2022-03-14,0.6509948528541246,0.6470122222415218,0.43532366717639714
2022-03-15,0.6607772085837001,0.6576501041777557,0.4477641895921489
2022-03-16,0.639136642025606,0.6365173263310634,0.43289284188261046
2022-03-17,0.6487823422603538,0.6510212179611429,0.4488884440341588
2022-03-18,0.6523031650051985,0.6546361203164911,0.4530675360226517
2022-03-21,0.6585841154036187,0.660795680764479,0.4583784610336389
2022-03-22,0.6470016841530885,0.6466747713297124,0.4443409338298876
2022-03-23,0.6534778252285149,0.6537967678204574,0.4501871880175228
2022-03-24,0.6543972383560659,0.6547376613017971,0.45131497326695513
2022-03-25,0.6531439143146311,0.6532316911300078,0.4502943014476105
2022-03-28,0.6531682822104565,0.6534906626921576,0.4506786282019024
2022-03-29,0.6529916224154249,0.6534798004740116,0.450184197818319
2022-03-30,0.654403662004946,0.6546942016209532,0.4512223247289521
2022-03-31,0.6489011984065579,0.6475491311655486,0.44525807891459906
2022-04-01,0.6481561498164858,0.6464500940521136,0.4445217554604404
2022-04-04,0.6527226038089425,0.6510201820449623,0.4481386889224804
2022-04-05,0.6561014357503828,0.6546040338245199,0.4514226523225579
2022-04-06,0.6516863153244631,0.650852923499915,0.44815759739991307
2022-04-07,0.65710234171888,0.657039563234242,0.45359473965974006
2022-04-08,0.6575259794957102,0.6581402421751951,0.45370842711487713
2022-04-11,0.6564128332194165,0.6584958091027425,0.45427377221166726
2022-04-12,0.6566124161496503,0.6587002854787675,0.45441353793827427
2022-04-13,0.6602561789071353,0.6624089207008516,0.4577828332961811
2022-04-14,0.6621277946200775,0.664253280396084,0.4595375642336877
2022-04-19,0.6591807894376792,0.6609487489844149,0.4567938770454785
2022-04-20,0.6569835589544196,0.6589102653029338,0.45481824690251893
2022-04-21,0.6561448704399251,0.657980117300724,0.45429285684908177
2022-04-22,0.6655177218978781,0.667365511529939,0.46332789485749437
2022-04-26,0.6895986080470169,0.6923362035736117,0.4862426177599509
2022-04-27,0.6926204249318085,0.6964850526279536,0.4894232723433481
2022-04-28,0.6922870634323194,0.6951105885328405,0.48797937439994277
2022-04-29,0.6939182986888592,0.6973553505261506,0.48834749946036865
2022-05-02,0.6988489998195423,0.703367248135256,0.49273264102465864
2022-05-03,0.697598408772082,0.702354514750514,0.49162365911965006
2022-05-04,0.6974625429820331,0.7036459596749577,0.49380271080611504
2022-05-05,0.6829220743215333,0.6869027808661484,0.4794785188067665
2022-05-06,0.7068029465662826,0.7123760833935935,0.5020377261026161
2022-05-09,0.7112247036445628,0.7178347798164141,0.5064585015765393
2022-05-10,0.7161829931728161,0.7235555890461688,0.5109073772995679
2022-05-11,0.7187417137517179,0.7258462399616171,0.5127439585987255
2022-05-12,0.7090456442928242,0.715431540287992,0.5004023738449933
2022-05-13,0.6933179578251215,0.6955288067279947,0.48328144613116825
2022-05-16,0.6951777774866388,0.6974513734579035,0.4850076205290987
2022-05-17,0.694950159747225,0.6986621015359212,0.4847982802805285
2022-05-18,0.6956476372568249,0.7006158983571505,0.4874149054499763
2022-05-19,0.7066572755476497,0.7146118567025839,0.4988389321869046
2022-05-20,0.7128488940603614,0.7200364452637079,0.5063655416914187
2022-05-23,0.7141191744321995,0.7215334742341245,0.5075987355350595
2022-05-24,0.7104102452550057,0.7181865209524354,0.5044940737632831
2022-05-25,0.7109836208764153,0.7186518486494857,0.5048160891745759
2022-05-26,0.7119250204341722,0.7196295543861752,0.5054856907245147
2022-05-27,0.7107485152289292,0.7197575004298838,0.5050549555472499
2022-05-30,0.7204504837369359,0.7319895700142922,0.5143658930574235
2022-05-31,0.719687545889429,0.7308834957870187,0.5132382816723957
2022-06-01,0.7185498009085557,0.7298269994904649,0.5125222051907261
2022-06-02,0.7209642708007916,0.7320206429651736,0.5140628366944568
2022-06-03,0.7268672919749818,0.7386849909288665,0.5200741343852322
2022-06-06,0.7256134709828532,0.7373004550206816,0.5188188918316496
2022-06-07,0.7277307088921554,0.7388704677718312,0.52033775518796
2022-06-08,0.7271141668142879,0.7381608201341853,0.5197882174332782
2022-06-09,0.7260891815266527,0.7362551891593269,0.5184110463696191
2022-06-10,0.7352414395788225,0.746350999661602,0.527385679400347
2022-06-14,0.7743699264438458,0.7889104328431861,0.5661830387518297
2022-06-15,0.7713029793227381,0.7856061937462291,0.5629257261381595
2022-06-16,0.7672533969183399,0.781053436669424,0.5584700092887274
2022-06-17,0.7655372062308007,0.7806956099475482,0.5559592613703646
2022-06-20,0.7608154830913105,0.7756217910378231,0.5522252711998911
2022-06-21,0.757524765333656,0.7724593566532721,0.5502166249662245
2022-06-22,0.7547733614387534,0.7692194509714103,0.547190847836591
2022-06-23,0.7548397758441325,0.7692917502324196,0.5472017482924779
2022-06-24,0.7524334171079994,0.767012248913532,0.5456293779522885
2022-06-27,0.7607243557537728,0.7768775665424279,0.5523545761478907
2022-06-28,0.7593926797201351,0.7748919355327111,0.5505279118758573
2022-06-29,0.7615591016096476,0.7778774607703592,0.5518975718813708
2022-06-30,0.7649297039293917,0.7816542265205513,0.5547801189994855
2022-07-01,0.7622525238005197,0.7801649984918797,0.552683291694009
2022-07-04,0.7588240335000639,0.7768565227760492,0.5490484776147151
2022-07-05,0.7588692231760027,0.7773084806075601,0.5493454216820958
2022-07-06,0.761811692241303,0.7825166183634097,0.5535419829540893
2022-07-07,0.7635022896827274,0.7848684857180906,0.5546842597481606
2022-07-08,0.7665445164711473,0.7882130994298301,0.5574116656033898
2022-07-11,0.754416683149359,0.7742181891028102,0.547459427606374
2022-07-12,0.7539740545020553,0.773521458210465,0.5469648716064771
2022-07-13,0.7538692742898737,0.7732869046424313,0.5467467234261106
2022-07-14,0.7550653274322638,0.7747449176750675,0.5482357792605991
2022-07-15,0.7542304205277123,0.7739216160843497,0.5474405064712017
2022-07-18,0.7613051781968048,0.7828793910903008,0.5549988136888354
2022-07-19,0.7581920210504328,0.7795494291442507,0.5523861508774182
2022-07-20,0.7683292366628431,0.7908658389340255,0.5613039158708647
2022-07-21,0.7708955603077869,0.793772994888816,0.5638267025990746
2022-07-22,0.772997687296282,0.7959256094488385,0.5655955509500185
2022-07-25,0.7732145907294199,0.7961535232223607,0.5660441898599368
2022-07-26,0.7812112782212399,0.8037930770551077,0.5718650710481998
2022-07-27,0.7804517414374275,0.8027550966094271,0.5713249946689851
2022-07-28,0.7874085352665803,0.81055409432496,0.577060454252943
2022-07-29,0.7892139153850197,0.8123363383043237,0.5785566756038175
2022-08-01,0.7915246076135937,0.8153965574022043,0.5814940986224513
2022-08-02,0.7813400618345268,0.8051133014009304,0.5712699391315513
2022-08-03,0.7760136643765505,0.8000287489710062,0.5659390173937359
2022-08-04,0.7775073796700552,0.8020895472014627,0.5677110034298912
2022-08-05,0.7785924544747457,0.8030859550059047,0.5687006186787307
2022-08-08,0.7736146027682649,0.7982770560281681,0.5639091639451652
2022-08-09,0.7730338082880446,0.7977705676686182,0.5634082810550379
2022-08-10,0.7701459687497789,0.7950330549930904,0.5610443374679969
2022-08-11,0.7801499384105525,0.8058689866772959,0.570650030807406
2022-08-12,0.781192506168829,0.8070769429448449,0.5717869722305626
2022-08-15,0.7786570163066158,0.8046206385630169,0.570478923835236
2022-08-16,0.7801757147426899,0.8075060051159321,0.5726362657514675
2022-08-17,0.7786922456342229,0.8060412441818362,0.571671552588257
2022-08-18,0.7827590478800487,0.8095003512360218,0.5750840968514519
2022-08-19,0.7814123350845019,0.8080471450628101,0.5736453309893655
2022-08-22,0.7857566598762838,0.8117330789569924,0.577802511772825
2022-08-23,0.7852360681212227,0.8113235794429813,0.5768232802884863
2022-08-24,0.7840177014336303,0.810419281660489,0.5758027344541173
2022-08-25,0.7812126662774069,0.8074775756155709,0.5729186184807696
2022-08-26,0.7815059377351772,0.8078213185104732,0.5730599798112279
2022-08-29,0.7927262995227348,0.8217044138204384,0.5841642435763701
2022-08-30,0.7928256040933884,0.8218496137844372,0.58445269338271
2022-08-31,0.7939883408669604,0.8230988171357239,0.5853228246276267
2022-09-01,0.7959883154055708,0.8257139415702586,0.5881026470197216
2022-09-02,0.7954114491983377,0.8252256541116939,0.5877482055242175
2022-09-05,0.7947805386555681,0.8245733224689963,0.5871271555518408
2022-09-06,0.7924651342819538,0.8216506127366909,0.5850498420067045
2022-09-07,0.7954769108625342,0.8247660604887829,0.5880007799166103
2022-09-08,0.7999670309273348,0.8308521970907781,0.5936607661740625
2022-09-09,0.7898840808454135,0.8212285385384638,0.5853935866462452
2022-09-12,0.7951761216795891,0.8271310883942565,0.590818757306708
2022-09-13,0.7876266398281226,0.8192164646488393,0.5840549785923801
2022-09-14,0.809343780159899,0.8427191531293713,0.6046441634002646
2022-09-15,0.8111281513501317,0.8442090815329801,0.6057618344498843
2022-09-16,0.8137535356848095,0.8475600521699521,0.6080274809804518
2022-09-19,0.8170645272420746,0.8524475138122741,0.6116557350750994
2022-09-20,0.820048877669952,0.8566145105926339,0.61455477128435
2022-09-21,0.8228548889180501,0.8589312040671756,0.6177257536473685
2022-09-23,0.830161338493479,0.8659876303979851,0.6255673982127107
2022-09-26,0.847648537740941,0.8873126220293782,0.6443798498614899
2022-09-27,0.8480691001807592,0.887681731159349,0.6449073441724424
2022-09-28,0.8506991582217432,0.892133962984996,0.6485590408042597
2022-09-29,0.8509684841769698,0.8925650418070888,0.6491158972420296
2022-09-30,0.8583224846214831,0.9022179169274525,0.6573832784757079
2022-10-03,0.8519567618012996,0.8947567507027322,0.6526156817332455
2022-10-04,0.8726340902924161,0.9158125641865941,0.6730150738894658
2022-10-05,0.8711249636584881,0.9139743754267027,0.6724966837614637
2022-10-06,0.8704468752070097,0.9131941322754364,0.672378139400073
2022-10-07,0.8782567279212257,0.9213696249556574,0.6797853940212342
2022-10-10,0.8777204566956036,0.9225939908761484,0.681375940945404
2022-10-11,0.8804955990325213,0.9255963993215134,0.6847424598266987
2022-10-12,0.8801996774201254,0.9250805803841319,0.6846429454482715
2022-10-13,0.8811344290408617,0.9260362031686851,0.6852075744735635
2022-10-14,0.8789659626738665,0.923763708441077,0.6830113079888506
2022-10-17,0.8772212975051373,0.9214905776752661,0.681055373551399
2022-10-18,0.8884198956878651,0.9344636938276137,0.6921268672532238
2022-10-19,0.8894494677348235,0.9351855436231631,0.6933900600130266
2022-10-20,0.8906415942774425,0.9368296136429861,0.6946408127852828
2022-10-21,0.8925785137787846,0.9388662064895288,0.6963704101952514
2022-10-24,0.8779520079284646,0.9223720687756842,0.6831197397506849
2022-10-25,0.8762809832759813,0.9211902034951633,0.6815548861273731
2022-10-26,0.8751826189577662,0.9197336044370278,0.6820304779253711
2022-10-27,0.876144316304706,0.9206900073998197,0.6829415028242243
2022-10-28,0.8761886238934825,0.9216465620086899,0.6829980050624661
2022-10-31,0.8775592567798798,0.9246647209241897,0.684668335160442
2022-11-01,0.8698971079251449,0.9134075023055218,0.6765108278161935
2022-11-02,0.8718956147474829,0.9158954913005449,0.6788532150471857
2022-11-03,0.8770153001831045,0.9214010132209446,0.6852591496090117
2022-11-04,0.8360097874157802,0.8751464437230408,0.6512416640633771
2022-11-07,0.8457221906681489,0.8853296532354349,0.6618284280148524
2022-11-08,0.8468392471331253,0.8866991669465636,0.6626404590938266
2022-11-09,0.8440695752996736,0.8839357289279481,0.6599998416988909
2022-11-10,0.8313177917257213,0.8697317274258003,0.6494966774031012
2022-11-11,0.8551109904819789,0.8987261945687928,0.6786880579806833
2022-11-14,0.8586375771334228,0.9028141535636357,0.682824650903421
2022-11-15,0.8501186417571513,0.8937410808387073,0.676295105304547
2022-11-16,0.8494777520150805,0.8934200552033031,0.6757422605115329
2022-11-17,0.8501737794571433,0.8949229624035845,0.6765295390662927
2022-11-18,0.8506372272599606,0.895491289968218,0.6770886011688441
2022-11-21,0.8460407072992183,0.8901226613735498,0.6731568102884521
2022-11-22,0.8435930451696276,0.8875107386101384,0.670737790853966
2022-11-23,0.8442488993571571,0.8885686295629224,0.6720387648765883
2022-11-24,0.8461958159250331,0.8906750803877933,0.6742720372150984
2022-11-25,0.8453200110774473,0.8898385362157671,0.6735316370821142
2022-11-28,0.8491898487399814,0.8954430298378456,0.680080326832823
2022-11-29,0.8360615944847158,0.8809139728455986,0.6683009072837656
2022-11-30,0.8335209256799252,0.8763287030850572,0.6661379617236419
2022-12-01,0.8407461596069324,0.8847957067206784,0.6743482179100816
2022-12-02,0.839671137439117,0.8832469961850794,0.6729342106792985
2022-12-05,0.8407505734592706,0.8844837220747053,0.6740089038675804
2022-12-06,0.8420849139816594,0.8859555261605229,0.6753060064440535
2022-12-07,0.8442516139716241,0.8885887905723634,0.6772484111227568
2022-12-08,0.8371545949761605,0.8809358502039272,0.6713986081029921
2022-12-09,0.8378520576228956,0.8821272897389084,0.6728579757413604
2022-12-12,0.8366776632924213,0.8810854858892763,0.6722892652284093
2022-12-13,0.8303276614023656,0.8760625339947536,0.6673446305630972
2022-12-14,0.8320772132549569,0.8774310037903585,0.6687933632764221
2022-12-15,0.8229081146970734,0.867482965488428,0.6611485818508959
2022-12-16,0.8277036151754773,0.8731239966816762,0.6660300398558727
2022-12-19,0.829616311283743,0.8746697434354346,0.6675261550631274
2022-12-20,0.8282663605410235,0.871882474878659,0.6651755881572976
2022-12-21,0.8325127439617842,0.8765887435105065,0.6691410121495963
2022-12-22,0.8325812547731747,0.8766157116505124,0.6689085230535305
2022-12-23,0.8306885079775347,0.8744056053388475,0.6669475438922212
2022-12-28,0.8303907886198444,0.8741572217643606,0.6667604760778868
2022-12-29,0.8294652106019592,0.8735981734496007,0.6664203665950792
2022-12-30,0.830067683050061,0.8747775959565811,0.6673147917697524
2023-01-03,0.8281543959509213,0.8723017409489853,0.6650911444012113
2023-01-04,0.8137942919484575,0.856148121029853,0.6530632550286914
2023-01-05,0.8127902642114929,0.8552543815894067,0.6521799800436542
2023-01-06,0.8018621063911509,0.8453317966994616,0.6445601807387892
2023-01-09,0.810423722522853,0.8552414078790094,0.6541590425571102
2023-01-10,0.8098203167903684,0.8547745788169159,0.6536074523383905
2023-01-11,0.8101501175221681,0.8550766765409779,0.6537552781253365
2023-01-12,0.810520182862811,0.855295368768135,0.6540300238924285
2023-01-13,0.8119485619291334,0.8564365106184434,0.6554907088856526
2023-01-16,0.8120962786914643,0.8566329853280686,0.6561117088951678
2023-01-17,0.8124397158522828,0.8570203291694508,0.6565768711082572
2023-01-18,0.8125048388406403,0.8570883677415068,0.6565226434357583
2023-01-19,0.8116673291101315,0.8561882883114706,0.6557447297420227
2023-01-20,0.8070002536760006,0.8507647888708275,0.6509137897035087
2023-01-23,0.8078094431436297,0.8528257074769565,0.6541767012025114
2023-01-24,0.8084187952146032,0.8535062296561156,0.6543995368466525
2023-01-25,0.8032956465816415,0.8501399559947509,0.6526287251504466
2023-01-27,0.8022361618335151,0.8504049414834557,0.6525055762235142
2023-01-30,0.7999851287212378,0.8479414945334013,0.6509449318496017
2023-01-31,0.8021082747166,0.8493784202127559,0.6527989542846241
2023-02-01,0.7971020028516953,0.8442930538723946,0.6482592997484167
2023-02-02,0.7908080975527081,0.8376156640517463,0.6425116516837185
2023-02-03,0.7874886125381492,0.8344497556886636,0.6410325206072534
2023-02-06,0.7945280146173024,0.8418644870870288,0.6485680123254381
2023-02-07,0.7957164894286992,0.8431372715360016,0.6497591874731872
2023-02-08,0.7952776638865285,0.8434372829347181,0.650048466884939
2023-02-09,0.7960244328601818,0.84461165372715,0.6512432942176367
2023-02-10,0.7953376220732944,0.8442072898685078,0.6508153017611428
2023-02-13,0.7933409550257869,0.8420671501825086,0.6490963122580937
2023-02-14,0.794603727906644,0.8433263593576614,0.6504554929940939
2023-02-15,0.7869487432693387,0.8344377404453477,0.6439432765912941
2023-02-16,0.7853286332909764,0.8333752797348729,0.6435900683389181
2023-02-17,0.7874734114726054,0.8357925955988657,0.6456825946017004
2023-02-20,0.7871820640678653,0.8359531179093571,0.645916045868193
2023-02-21,0.7852685994727925,0.8340117737686632,0.6441597558533356
2023-02-22,0.7860313668505238,0.8342925392757802,0.6458656104359686
2023-02-23,0.7853075022845641,0.8332986953632117,0.6456161589584859
2023-02-24,0.7862491919773068,0.8336076395313272,0.6505167081991877
2023-02-27,0.7912743373395769,0.8375357794709306,0.6555078301962175
2023-02-28,0.7912671872152313,0.8375568532407706,0.655469259473905
2023-03-01,0.7848856010890589,0.8307534409793368,0.6504378427056324
2023-03-02,0.7841953513958693,0.8298766628895308,0.6498512521005765
2023-03-03,0.7824296485973645,0.828426373881076,0.6489304315996837
2023-03-06,0.7827224637010987,0.8284175869269247,0.6497823027053292
2023-03-07,0.7877933437664428,0.8338338346789774,0.6564379447639407
2023-03-08,0.7912861266101471,0.8377660250308595,0.6600341521250744
2023-03-09,0.7938645026844666,0.8401504250964659,0.6629193376856694
2023-03-10,0.7909516867596171,0.8380519799950341,0.6605006349736757
2023-03-13,0.7931667165412736,0.8411962918587002,0.664549338054728
2023-03-14,0.793703717887783,0.8412561163454672,0.6624640965402631
2023-03-15,0.7909847068641569,0.8384085129659569,0.658426630151687
2023-03-16,0.8110498992815761,0.8599854806210271,0.6763754424090042
2023-03-17,0.8076159868795044,0.8557600770438951,0.672269942906461
2023-03-20,0.8004353354218313,0.8484322141777346,0.6633395768527113
2023-03-21,0.8024824214424373,0.8509997443969399,0.665226427033947
2023-03-22,0.8027590602823292,0.8522923560807164,0.6660250777472112
2023-03-23,0.8002083197402224,0.8494201189477765,0.6637954414032117
2023-03-24,0.7994341550206994,0.8489128399036273,0.6628964659496467
2023-03-27,0.8002486866242007,0.849864902522671,0.6636003353173181
2023-03-28,0.7959448332428605,0.8446609297810137,0.6584294844355971
2023-03-29,0.7968986304929001,0.845622920748338,0.6598153530046327
2023-03-30,0.7953060765550387,0.8444195802382294,0.657987981730304
2023-03-31,0.7976270989332511,0.8470855137113955,0.6602660156008514
2023-04-03,0.7913316310453087,0.8403004843207942,0.6535888480580275
2023-04-04,0.7928701820324482,0.8423167760757911,0.6556476631516267
2023-04-05,0.7923989107048929,0.8419171166304654,0.6550884593621344
2023-04-06,0.7965162236003851,0.8460279806110802,0.65857121009504
2023-04-11,0.7919423820969184,0.840763358812492,0.653509106272569
2023-04-12,0.7919455019537004,0.8404956152391736,0.653511632915949
2023-04-13,0.7919146417280235,0.840011506603387,0.6528217324594776
2023-04-14,0.7890888644920353,0.8368766213296439,0.6501619440070857
2023-04-17,0.7868386221462823,0.8342635072678204,0.647609514708602
2023-04-18,0.7866033690104214,0.8340808125814544,0.6474525111494938
2023-04-19,0.7867655282600358,0.8343457524331185,0.6477953291992539
2023-04-20,0.7871541429926809,0.8347306292880732,0.6484027364071333
2023-04-21,0.7883892671011689,0.8360737678456619,0.6493091450834368
2023-04-24,0.7841518619078387,0.8321306709839235,0.6457413561893464
2023-04-26,0.769804613526838,0.8177667662673168,0.6327363184992181
2023-04-27,0.7674043904359675,0.8148301909578898,0.6305297187679711
2023-04-28,0.7680805386242666,0.8163732836617512,0.6319162421936081
2023-05-01,0.7675654715716166,0.8156873474496308,0.6317723867026749
2023-05-02,0.7643086149304013,0.8116511703122763,0.6289114872889195
2023-05-03,0.7624933692122797,0.8096044582786249,0.6264524177451796
2023-05-04,0.7626917021914147,0.8090140871497437,0.6254520509563265
2023-05-05,0.7736737173009158,0.820873006933992,0.635559356099451
